model,fold,best_epoch,stopping_epoch,best_val_acc,training_time_s
MLP Baseline,0,624,724,0.7475555555555555,726.2047748565674
MLP Baseline,1,602,702,0.7512222222222222,694.0039432048798
MLP Baseline,2,681,781,0.7561111111111111,774.3743181228638
MLP Baseline,3,589,689,0.7605555555555555,676.1776783466339
MLP Baseline,4,502,602,0.748,591.6993098258972
Deep Residual MLP,0,1049,1149,0.828,1185.277822971344
Deep Residual MLP,1,878,978,0.8351111111111111,1001.2009432315826
Deep Residual MLP,2,1229,1329,0.8356666666666667,1370.4041483402252
Deep Residual MLP,3,838,938,0.8365555555555556,965.3500061035156
Deep Residual MLP,4,918,1018,0.8256666666666667,1041.4759051799774
TabNet,0,320,420,0.7808888888888889,1039.4018471240997
TabNet,1,429,529,0.7863333333333333,1314.381292104721
TabNet,2,350,450,0.7583333333333333,1121.105182170868
TabNet,3,443,543,0.7926666666666666,1344.6992180347443
TabNet,4,397,497,0.792,1243.774300813675
